NIM,Nama,ARS201,ARS202,ARS203,ARS204,ARS205,ARS206,ARS207,ARS208,ARS209
2023001,Budi Hartono,85,88,82,80,87,84,86,83,85
2023002,Citra Maharani,90,92,88,85,91,89,90,87,89
2023003,Dedi Sutrisno,78,80,75,77,79,76,78,74,77
2023004,Eka Wulandari,88,90,86,84,89,87,88,85,87
2023005,Fajar Nugroho,82,85,80,78,83,81,82,79,81
2023006,Gina Puspita,92,94,90,88,93,91,92,89,91
2023007,Hadi Wijaya,80,82,78,76,81,79,80,77,79
2023008,Ika Suryani,86,89,84,82,87,85,86,83,85
2023009,Joko Prasetyo,79,81,77,75,80,78,79,76,78
2023010,Kartika Sari,94,96,92,90,95,93,94,91,93
