NIM,Nama,INF101,INF102,INF103,INF104,INF105,INF106,INF107,INF108
2024001,Ahmad Fauzi,85,88,90,82,85,87,80,84
2024002,Siti Aisyah,92,89,95,88,92,90,85,91
2024003,Budi Santoso,78,82,85,75,80,83,78,80
2024004,Citra Dewi,88,90,92,85,89,88,82,87
2024005,Dedi Prasetyo,75,78,80,72,76,79,74,77
2024006,Eka Putri,90,92,94,88,91,89,86,90
2024007,Fahri Rahman,82,85,88,80,84,86,79,83
2024008,Gita Sari,86,88,90,83,87,85,81,86
2024009,Hendra Wijaya,79,81,84,77,80,82,76,80
2024010,Indah Permata,93,95,97,90,94,92,88,94
